Abbreviation3-1,Abbreviation3-2,Abbreviation2,Language,French
ltz,,lb,luxembourgish; letzeburgesch,luxembourgeois
lua,,,luba-lulua,luba-lulua
lub,,lu,luba-katanga,luba-katanga
lug,,lg,ganda,ganda
lui,,,luiseno,luiseno
lun,,,lunda,lunda
luo,,,luo (kenya and tanzania),luo (Kenya et Tanzanie)
lus,,,lushai,lushai
mac,mkd,mk,macedonian,macédonien
mad,,,madurese,madourais
mag,,,magahi,magahi
mah,,mh,marshallese,marshall
mai,,,maithili,maithili
mak,,,makasar,makassar
mal,,ml,malayalam,malayalam
man,,,mandingo,mandingue
mao,mri,mi,maori,maori
map,,,austronesian languages,"austronésiennes, langues"
mar,,mr,marathi,marathe
mas,,,masai,massaï
may,msa,ms,malay,malais
mdf,,,moksha,moksa
mdr,,,mandar,mandar
men,,,mende,mendé
mga,,,"irish, middle (900-1200)",irlandais moyen (900-1200)
mic,,,mi'kmaq; micmac,mi'kmaq; micmac
min,,,minangkabau,minangkabau
mis,,,uncoded languages,langues non codées
mkh,,,mon-khmer languages,"môn-khmer, langues"
mlg,,mg,malagasy,malgache
mlt,,mt,maltese,maltais
mnc,,,manchu,mandchou
mni,,,manipuri,manipuri
mno,,,manobo languages,"manobo, langues"
moh,,,mohawk,mohawk
mon,,mn,mongolian,mongol
mos,,,mossi,moré
mul,,,multiple languages,multilingue
mun,,,munda languages,"mounda, langues"
mus,,,creek,muskogee
mwl,,,mirandese,mirandais
mwr,,,marwari,marvari
myn,,,mayan languages,"maya, langues"
myv,,,erzya,erza
nah,,,nahuatl languages,"nahuatl, langues"
nai,,,north american indian languages,"nord-amérindiennes, langues"
nap,,,neapolitan,napolitain
nau,,na,nauru,nauruan
nav,,nv,navajo; navaho,navaho
nbl,,nr,"ndebele, south; south ndebele",ndébélé du Sud
nde,,nd,"ndebele, north; north ndebele",ndébélé du Nord
ndo,,ng,ndonga,ndonga
nds,,,"low german; low saxon; german, low; saxon, low","bas allemand; bas saxon; allemand, bas; saxon, bas"
nep,,ne,nepali,népalais
new,,,nepal bhasa; newari,nepal bhasa; newari
nia,,,nias,nias
nic,,,niger-kordofanian languages,"nigéro-kordofaniennes, langues"
niu,,,niuean,niué
nno,,nn,"norwegian nynorsk; nynorsk, norwegian","norvégien nynorsk; nynorsk, norvégien"
nob,,nb,"bokmål, norwegian; norwegian bokmål",norvégien bokmål
nog,,,nogai,nogaï; nogay
non,,,"norse, old","norrois, vieux"
nor,,no,norwegian,norvégien
nqo,,,n'ko,n'ko
nso,,,pedi; sepedi; northern sotho,pedi; sepedi; sotho du Nord
nub,,,nubian languages,"nubiennes, langues"
nwc,,,classical newari; old newari; classical nepal bhasa,newari classique
nya,,ny,chichewa; chewa; nyanja,chichewa; chewa; nyanja
nym,,,nyamwezi,nyamwezi
nyn,,,nyankole,nyankolé
nyo,,,nyoro,nyoro
nzi,,,nzima,nzema
oci,,oc,occitan (post 1500),occitan (après 1500)
oji,,oj,ojibwa,ojibwa
ori,,or,oriya,oriya
orm,,om,oromo,galla
osa,,,osage,osage
oss,,os,ossetian; ossetic,ossète
ota,,,"turkish, ottoman (1500-1928)",turc ottoman (1500-1928)
oto,,,otomian languages,"otomi, langues"
paa,,,papuan languages,"papoues, langues"
pag,,,pangasinan,pangasinan
pal,,,pahlavi,pahlavi
pam,,,pampanga; kapampangan,pampangan
pan,,pa,panjabi; punjabi,pendjabi
pap,,,papiamento,papiamento
pau,,,palauan,palau
peo,,,"persian, old (ca.600-400 b.c.)","perse, vieux (ca. 600-400 av. J.-C.)"
per,fas,fa,persian,persan
phi,,,philippine languages,"philippines, langues"
phn,,,phoenician,phénicien
pli,,pi,pali,pali
pol,,pl,polish,polonais
pon,,,pohnpeian,pohnpei
por,,pt,portuguese,portugais
pra,,,prakrit languages,"prâkrit, langues"
pro,,,"provençal, old (to 1500); occitan, old (to 1500)",provençal ancien (jusqu'à 1500); occitan ancien (jusqu'à 1500)
pus,,ps,pushto; pashto,pachto
qaa-qtz,,,reserved for local use,réservée à l'usage local
que,,qu,quechua,quechua
raj,,,rajasthani,rajasthani
rap,,,rapanui,rapanui
rar,,,rarotongan; cook islands maori,rarotonga; maori des îles Cook
roa,,,romance languages,"romanes, langues"
roh,,rm,romansh,romanche
rom,,,romany,tsigane
rum,ron,ro,romanian; moldavian; moldovan,roumain; moldave
run,,rn,rundi,rundi
rup,,,aromanian; arumanian; macedo-romanian,aroumain; macédo-roumain
rus,,ru,russian,russe
sad,,,sandawe,sandawe
sag,,sg,sango,sango
sah,,,yakut,iakoute
sai,,,south american indian languages,"sud-amérindiennes, langues"
sal,,,salishan languages,"salishennes, langues"
sam,,,samaritan aramaic,samaritain
san,,sa,sanskrit,sanskrit
sas,,,sasak,sasak
sat,,,santali,santal
scn,,,sicilian,sicilien
sco,,,scots,écossais
sel,,,selkup,selkoupe
sem,,,semitic languages,"sémitiques, langues"
sga,,,"irish, old (to 900)",irlandais ancien (jusqu'à 900)
sgn,,,sign languages,langues des signes
shn,,,shan,chan
sid,,,sidamo,sidamo
sin,,si,sinhala; sinhalese,singhalais
sio,,,siouan languages,"sioux, langues"
sit,,,sino-tibetan languages,"sino-tibétaines, langues"
sla,,,slavic languages,"slaves, langues"
slo,slk,sk,slovak,slovaque
slv,,sl,slovenian,slovène
sma,,,southern sami,sami du Sud
sme,,se,northern sami,sami du Nord
smi,,,sami languages,"sames, langues"
smj,,,lule sami,sami de Lule
smn,,,inari sami,sami d'Inari
smo,,sm,samoan,samoan
sms,,,skolt sami,sami skolt
sna,,sn,shona,shona
snd,,sd,sindhi,sindhi
snk,,,soninke,soninké
sog,,,sogdian,sogdien
som,,so,somali,somali
son,,,songhai languages,"songhai, langues"
sot,,st,"sotho, southern",sotho du Sud
spa,,es,spanish; castilian,espagnol; castillan
srd,,sc,sardinian,sarde
srn,,,sranan tongo,sranan tongo
srp,,sr,serbian,serbe
srr,,,serer,sérère
ssa,,,nilo-saharan languages,"nilo-sahariennes, langues"
ssw,,ss,swati,swati
suk,,,sukuma,sukuma
sun,,su,sundanese,soundanais
sus,,,susu,soussou
sux,,,sumerian,sumérien
swa,,sw,swahili,swahili
swe,,sv,swedish,suédois
syc,,,classical syriac,syriaque classique
syr,,,syriac,syriaque
tah,,ty,tahitian,tahitien
tai,,,tai languages,"tai, langues"
tam,,ta,tamil,tamoul
tat,,tt,tatar,tatar
tel,,te,telugu,télougou
tem,,,timne,temne
ter,,,tereno,tereno
tet,,,tetum,tetum
tgk,,tg,tajik,tadjik
tgl,,tl,tagalog,tagalog
tha,,th,thai,thaï
tib,bod,bo,tibetan,tibétain
tig,,,tigre,tigré
tir,,ti,tigrinya,tigrigna
tiv,,,tiv,tiv
tkl,,,tokelau,tokelau
tlh,,,klingon; tlhingan-hol,klingon
tli,,,tlingit,tlingit
tmh,,,tamashek,tamacheq
tog,,,tonga (nyasa),tonga (Nyasa)
ton,,to,tonga (tonga islands),tongan (Îles Tonga)
tpi,,,tok pisin,tok pisin
tsi,,,tsimshian,tsimshian
tsn,,tn,tswana,tswana
tso,,ts,tsonga,tsonga
tuk,,tk,turkmen,turkmène
tum,,,tumbuka,tumbuka
tup,,,tupi languages,"tupi, langues"
tur,,tr,turkish,turc
tut,,,altaic languages,"altaïques, langues"
tvl,,,tuvalu,tuvalu
twi,,tw,twi,twi
tyv,,,tuvinian,touva
udm,,,udmurt,oudmourte
uga,,,ugaritic,ougaritique
uig,,ug,uighur; uyghur,ouïgour
ukr,,uk,ukrainian,ukrainien
umb,,,umbundu,umbundu
und,,,undetermined,indéterminée
urd,,ur,urdu,ourdou
uzb,,uz,uzbek,ouszbek
vai,,,vai,vaï
ven,,ve,venda,venda
vie,,vi,vietnamese,vietnamien
vol,,vo,volapük,volapük
vot,,,votic,vote
wak,,,wakashan languages,"wakashanes, langues"
wal,,,wolaitta; wolaytta,wolaitta; wolaytta
war,,,waray,waray
was,,,washo,washo
wel,cym,cy,welsh,gallois
wen,,,sorbian languages,"sorabes, langues"
wln,,wa,walloon,wallon
wol,,wo,wolof,wolof
xal,,,kalmyk; oirat,kalmouk; oïrat
xho,,xh,xhosa,xhosa
yao,,,yao,yao
yap,,,yapese,yapois
yid,,yi,yiddish,yiddish
yor,,yo,yoruba,yoruba
ypk,,,yupik languages,"yupik, langues"
zap,,,zapotec,zapotèque
zbl,,,blissymbols; blissymbolics; bliss,symboles Bliss; Bliss
zen,,,zenaga,zenaga
zgh,,,standard moroccan tamazight,amazighe standard marocain
zha,,za,zhuang; chuang,zhuang; chuang
znd,,,zande languages,"zandé, langues"
zul,,zu,zulu,zoulou
zun,,,zuni,zuni
zxx,,,no linguistic content; not applicable,pas de contenu linguistique; non applicable
zza,,,zaza; dimili; dimli; kirdki; kirmanjki; zazaki,zaza; dimili; dimli; kirdki; kirmanjki; zazaki
